literal,class
#include <sys/types.h>,.TP.B.BR
#include <sys/stat.h>,.TP.B.BR
#include <fcntl.h>,.TP.B.BR
FD_CLOEXEC,.TP.B.BR
O_CLOEXEC,.TP.B.BR
F_SETFL,.TP.B.BR
O_APPEND,.TP.B.BR
O_ASYNC,.TP.B.BR
F_SETFD,.TP.B.BR
O_CREAT,.TP.B.BR
S_IRWXU,.TP.B.BR
S_IRUSR,.TP.B.BR
S_IWUSR,.TP.B.BR
S_IXUSR,.TP.B.BR
S_IRWXG,.TP.B.BR
S_IRGRP,.TP.B.BR
S_IWGRP,.TP.B.BR
S_IXGRP,.TP.B.BR
S_IRWXO,.TP.B.BR
S_IROTH,.TP.B.BR
S_IWOTH,.TP.B.BR
S_IXOTH,.TP.B.BR
O_DIRECT,.TP.B.BR
O_SYNC,.TP.B.BR
O_DIRECTORY,.TP.B.BR
O_EXCL,.TP.B.BR
O_LARGEFILE,.TP.B.BR
_LARGEFILE64_SOURCE,.TP.B.BR
_FILE_OFFSET_BITS,.TP.B.BR
O_NOATIME,.TP.B.BR
O_NOCTTY,.TP.B.BR
O_NOFOLLOW,.TP.B.BR
O_NONBLOCK,.TP.B.BR
O_PATH,.TP.B.BR
O_TRUNC,.TP.B.BR
O_RDWR,.TP.B.BR
EACCES,.TP.B.BR
EDQUOT,.TP.B.BR
EEXIST,.TP.B.BR
EFAULT,.TP.B.BR
EFBIG,.TP.B.BR
EINTR,.TP.B.BR
EINVAL,.TP.B.BR
EISDIR,.TP.B.BR
O_WRONLY,.TP.B.BR
ELOOP,.TP.B.BR
EMFILE,.TP.B.BR
ENAMETOOLONG,.TP.B.BR
ENFILE,.TP.B.BR
ENODEV,.TP.B.BR
ENXIO,.TP.B.BR
ENOENT,.TP.B.BR
ENOMEM,.TP.B.BR
ENOSPC,.TP.B.BR
ENOTDIR,.TP.B.BR
EOVERFLOW,.TP.B.BR
EPERM,.TP.B.BR
EROFS,.TP.B.BR
ETXTBSY,.TP.B.BR
EWOULDBLOCK,.TP.B.BR
_GNU_SOURCE,.TP.B.BR
"""O_RDONLY | O_WRONLY""",.TP.B.BR
O_RDONLY | O_TRUNC,.TP.B.BR
O_DSYNC,.TP.B.BR
O_RSYNC,.TP.B.BR
XFS_IOC_DIOINFO,.TP.B.BR
MAP_SHARED,.TP.B.BR
MADV_DONTFORK,.TP.B.BR
pathname,.I
flags,.I
file creation flags,.I
file status flags,.I
bsdgroups,.I
sysvgroups,.I
mode,.I
umask,.I
off_t,.I
any,.I
can,.I
dirfd,.I
errno,.I
-D_FILE_OFFSET_BITS=64,.I
(2<<31)-1,.I
"""access mode""",.I
st_mtime,.I
st_ctime,.I
man-pages,.I
